Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Subject_Introduced,Not defined,POINT,183.600,183.600,NA,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,2755,2755,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Approach,Not defined,STATE,191.867,193.066,1.199,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,2879,NA,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Investigation,Not defined,STATE,193.067,193.667,0.600,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,2897,2906,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Investigation,Not defined,STATE,196.933,198.067,1.134,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,2955,2972,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Aggression,Not defined,STATE,306.400,324.000,17.600,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,4597,4861,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Defeat,Not defined,STATE,306.400,324.000,17.600,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,4597,4861,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Defeat,Not defined,STATE,403.400,422.867,19.467,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,6052,6344,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Defeat,Not defined,STATE,428.600,458.400,29.800,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,6430,6877,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Defeat,Not defined,STATE,466.867,483.400,16.533,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,7004,7252,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Defeat,Not defined,STATE,549.400,565.600,16.200,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,8242,8485,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Defeat,Not defined,STATE,572.733,573.867,1.134,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,8592,8609,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Defeat,Not defined,STATE,638.667,640.133,1.466,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,9581,9603,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Approach,Not defined,STATE,645.733,646.800,1.067,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,9687,9703,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Defeat,Not defined,STATE,648.667,680.867,32.200,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,9731,10214,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Defeat,Not defined,STATE,749.600,751.800,2.200,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,11245,11278,,,,
n2-240510-075128,2024-07-06 20:07:21,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,605.800,909.867,15.000,Subject,158.2,Subject_Removed,Not defined,POINT,789.400,789.400,NA,Social Defeat Videos\5_10_24_Social_Defeat_P2-240505-125952_n2-240510-075128_Cam1.avi,11842,11842,,,,
